"specificationID","sectionID","sectionLabel","sectionURL","definitionID","definitionURL","definitionTerm","definitionText","definitionLocal","definitionCurrent"
"CodeLists-4.0","section_2.2","Section 2.2. RFC 3986: Uniform Resource Identifier (URI): Generic Syntax","https://reference.niem.gov/niem/specification/code-lists/4.0/niem-code-lists-4.0.html#section_2.2","definition_absolute_URI","https://reference.niem.gov/niem/specification/code-lists/4.0/niem-code-lists-4.0.html#definition_absolute_URI","absolute URI","The term absolute URI is as defined by [RFC3986] Section 4.3, Absolute URI, identifying a uniform resource identifier that matches the grammar production absolute-URI.",false,true
"CodeLists-4.0","section_2.8","Section 2.8. NIEM Naming and Design Rules","https://reference.niem.gov/niem/specification/code-lists/4.0/niem-code-lists-4.0.html#section_2.8","definition_application_information","https://reference.niem.gov/niem/specification/code-lists/4.0/niem-code-lists-4.0.html#definition_application_information","application information","The term application information (of a schema component) is defined by [NIEM NDR] Section 10.9, Machine-readable annotations, describing the contents of xs:appinfo annotations on the element that defines a schema component.",false,true
"CodeLists-4.0","section_2.5","Section 2.5. XML Information Set","https://reference.niem.gov/niem/specification/code-lists/4.0/niem-code-lists-4.0.html#section_2.5","definition_attribute","https://reference.niem.gov/niem/specification/code-lists/4.0/niem-code-lists-4.0.html#definition_attribute","attribute","The term attribute refers to an attribute information item as defined by [XML Infoset] Section 2.3, Attribute Information Items.",false,true
"CodeLists-4.0","section_2.6","Section 2.6. XML Schema","https://reference.niem.gov/niem/specification/code-lists/4.0/niem-code-lists-4.0.html#section_2.6","definition_attribute_declaration","https://reference.niem.gov/niem/specification/code-lists/4.0/niem-code-lists-4.0.html#definition_attribute_declaration","attribute declaration","The term attribute declaration is defined by [XMLSchema1] Section 2.2.2.3, Attribute Declaration.",false,true
"CodeLists-4.0","section_2.11","Section 2.11. XML Catalogs","https://reference.niem.gov/niem/specification/code-lists/4.0/niem-code-lists-4.0.html#section_2.11","definition_catalog_entry_file","https://reference.niem.gov/niem/specification/code-lists/4.0/niem-code-lists-4.0.html#definition_catalog_entry_file","catalog entry file","The term catalog entry file is defined by [XML Catalogs] Section 2, Terminology, which states:  A catalog may be physically contained in one or more catalog entry files. A catalog entry file is a document that contains a set of catalog entries.",false,true
"CodeLists-4.0","section_2.9","Section 2.9. Code Lists","https://reference.niem.gov/niem/specification/code-lists/4.0/niem-code-lists-4.0.html#section_2.9","definition_code_list","https://reference.niem.gov/niem/specification/code-lists/4.0/niem-code-lists-4.0.html#definition_code_list","code list","A code list is a set of distinct entries with a corresponding set of columns. A code list may be thought of as a table, with table rows as distinct entries, table columns as code list columns, and individual cells as code values.",true,true
"CodeLists-4.0","section_4.3","Section 4.3. Definition of code list binding","https://reference.niem.gov/niem/specification/code-lists/4.0/niem-code-lists-4.0.html#section_4.3","definition_code_list_binding","https://reference.niem.gov/niem/specification/code-lists/4.0/niem-code-lists-4.0.html#definition_code_list_binding","code list binding","A code list binding is an assigned correspondence between a set of data values, such as data within an XML document, and a set of columns within a code list, identified via a code list identifier and a set of column names.A code list binding has the following properties: a code list identifier a set of column/value pairs, each having: a column reference: either a column name or a well-known column reference, and a data value A boolean value, constraining.",true,true
"CodeLists-4.0","section_3.1","Section 3.1. Code list document","https://reference.niem.gov/niem/specification/code-lists/4.0/niem-code-lists-4.0.html#section_3.1","definition_code_list_document","https://reference.niem.gov/niem/specification/code-lists/4.0/niem-code-lists-4.0.html#definition_code_list_document","code list document","A code list document is a file or resource that contains one or more code lists. It is a conformance target of this specification. A code list document MUST conform to all rules of this specification that apply to this conformance target. An XML document with an effective conformance target identifier of http://reference.niem.gov/niem/specification/code-lists/4.0/#CodeListDocument MUST be a code list document.",true,true
"CodeLists-4.0","section_2.9","Section 2.9. Code Lists","https://reference.niem.gov/niem/specification/code-lists/4.0/niem-code-lists-4.0.html#section_2.9","definition_code_list_identifier","https://reference.niem.gov/niem/specification/code-lists/4.0/niem-code-lists-4.0.html#definition_code_list_identifier","code list identifier","A code list identifier is an absolute URI that identifies a code list.",true,true
"CodeLists-4.0","section_3.6","Section 3.6. Code list validation set","https://reference.niem.gov/niem/specification/code-lists/4.0/niem-code-lists-4.0.html#section_3.6","definition_code_list_validation_set","https://reference.niem.gov/niem/specification/code-lists/4.0/niem-code-lists-4.0.html#definition_code_list_validation_set","code list validation set","A code list validation set is an abstraction that contains one or more of: The instance, a code list-enabled instance document The catalog, an entity catalog, with its local context The schema, an XML Schema, and A code list document",true,true
"CodeLists-4.0","section_3.5","Section 3.5. Code list-enabled instance document","https://reference.niem.gov/niem/specification/code-lists/4.0/niem-code-lists-4.0.html#section_3.5","definition_code_list-enabled_instance_document","https://reference.niem.gov/niem/specification/code-lists/4.0/niem-code-lists-4.0.html#definition_code_list-enabled_instance_document","code list-enabled instance document","A code list-enabled instance document is an XML document that leverages this specification to connect data values with code lists. A code list-enabled instance document MUST conform to all rules of this specification that apply to this conformance target. An XML document with an effective conformance target identifier of http://reference.niem.gov/niem/specification/code-lists/4.0/#InstanceDocument MUST be a code list-enabled instance document.",true,true
"CodeLists-4.0","section_3.4","Section 3.4. Code list-enabled schema document","https://reference.niem.gov/niem/specification/code-lists/4.0/niem-code-lists-4.0.html#section_3.4","definition_code_list-enabled_schema_document","https://reference.niem.gov/niem/specification/code-lists/4.0/niem-code-lists-4.0.html#definition_code_list-enabled_schema_document","code list-enabled schema document","A code list-enabled schema document is an XML Schema document that supports the use of code list documents for validation and meaning. It is a conformance target of this specification. A code list-enabled schema document MUST conform to all rules of this specification that apply to this conformance target. The conformance target identifier for this conformance target is http://reference.niem.gov/niem/specification/code-lists/4.0/#SchemaDocument.",true,true
"CodeLists-4.0","section_2.4","Section 2.4. XML Namespaces","https://reference.niem.gov/niem/specification/code-lists/4.0/niem-code-lists-4.0.html#section_2.4","definition_code_lists_instance_namespace","https://reference.niem.gov/niem/specification/code-lists/4.0/niem-code-lists-4.0.html#definition_code_lists_instance_namespace","code lists instance namespace","Defined by this specification, the code lists instance namespace defines attributes that connect XML element content to code lists at run time",false,true
"CodeLists-4.0","section_2.4","Section 2.4. XML Namespaces","https://reference.niem.gov/niem/specification/code-lists/4.0/niem-code-lists-4.0.html#section_2.4","definition_code_lists_schema_appinfo_namespace","https://reference.niem.gov/niem/specification/code-lists/4.0/niem-code-lists-4.0.html#definition_code_lists_schema_appinfo_namespace","code lists schema appinfo namespace","Defined by this specification, the code lists schema appinfo namespace defines an XML vocabulary for use in xs:appinfo on XML Schema component definitions, which connect XML element and attribute content to code lists",false,true
"CodeLists-4.0","section_2.9","Section 2.9. Code Lists","https://reference.niem.gov/niem/specification/code-lists/4.0/niem-code-lists-4.0.html#section_2.9","definition_code_value","https://reference.niem.gov/niem/specification/code-lists/4.0/niem-code-lists-4.0.html#definition_code_value","code value","A code value is a single data value within a distinct entry in a code list. Each code value of a distinct entry corresponds to a column of the code list.",true,true
