"specificationID","sectionID","sectionLabel","sectionURL","ruleNumber","ruleTitle","ruleName","ruleID","ruleURL","ruleTargets","ruleClassification","ruleStyle","ruleText","ruleCurrent"
"NDR-3.0","section_4.1","Section 4.1. Conformance targets defined","https://reference.niem.gov/niem/specification/naming-and-design-rules/3.0/niem-ndr-3.0.html#section_4.1","4-1","Schema marked as reference schema document must conform","","rule_4-1","https://reference.niem.gov/niem/specification/naming-and-design-rules/3.0/niem-ndr-3.0.html#rule_4-1","[""SET""]","Constraint","text","Any schema document with an effective conformance target identifier of http://reference.niem.gov/niem/specification/naming-and-design-rules/3.0/#ReferenceSchemaDocument MUST be a reference schema document.",false
"NDR-3.0","section_4.1","Section 4.1. Conformance targets defined","https://reference.niem.gov/niem/specification/naming-and-design-rules/3.0/niem-ndr-3.0.html#section_4.1","4-2","Schema marked as extension schema document must conform","","rule_4-2","https://reference.niem.gov/niem/specification/naming-and-design-rules/3.0/niem-ndr-3.0.html#rule_4-2","[""SET""]","Constraint","text","Any schema document with an effective conformance target identifier of http://reference.niem.gov/niem/specification/naming-and-design-rules/3.0/#ExtensionSchemaDocument MUST be an extension schema document.",false
"NDR-3.0","section_4.3","Section 4.3. Conformance target identifiers","https://reference.niem.gov/niem/specification/naming-and-design-rules/3.0/niem-ndr-3.0.html#section_4.3","4-3","Schema is CTAS-conformant","","rule_4-3","https://reference.niem.gov/niem/specification/naming-and-design-rules/3.0/niem-ndr-3.0.html#rule_4-3","[""REF"",""EXT""]","Constraint","schematron","The document MUST be a conformant document as defined by the NIEM Conformance Targets Attribute Specification.",false
"NDR-3.0","section_4.3","Section 4.3. Conformance target identifiers","https://reference.niem.gov/niem/specification/naming-and-design-rules/3.0/niem-ndr-3.0.html#section_4.3","4-4","Document element has attribute ct:conformanceTargets","","rule_4-4","https://reference.niem.gov/niem/specification/naming-and-design-rules/3.0/niem-ndr-3.0.html#rule_4-4","[""REF"",""EXT""]","Constraint","schematron","The [document element] of the XML document, and only the [document element], MUST own an attribute {http://release.niem.gov/niem/conformanceTargets/3.0/}conformanceTargets.",false
"NDR-3.0","section_4.3","Section 4.3. Conformance target identifiers","https://reference.niem.gov/niem/specification/naming-and-design-rules/3.0/niem-ndr-3.0.html#section_4.3","4-5","Schema claims reference schema conformance target","","rule_4-5","https://reference.niem.gov/niem/specification/naming-and-design-rules/3.0/niem-ndr-3.0.html#rule_4-5","[""REF""]","Constraint","schematron","The document MUST have an effective conformance target identifier of http://reference.niem.gov/niem/specification/naming-and-design-rules/3.0/#ReferenceSchemaDocument.",false
"NDR-3.0","section_4.3","Section 4.3. Conformance target identifiers","https://reference.niem.gov/niem/specification/naming-and-design-rules/3.0/niem-ndr-3.0.html#section_4.3","4-6","Schema claims extension conformance target","","rule_4-6","https://reference.niem.gov/niem/specification/naming-and-design-rules/3.0/niem-ndr-3.0.html#rule_4-6","[""EXT""]","Constraint","schematron","The document MUST have an effective conformance target identifier of http://reference.niem.gov/niem/specification/naming-and-design-rules/3.0/#ExtensionSchemaDocument.",false
"NDR-3.0","section_7.1","Section 7.1. Conformance to XML","https://reference.niem.gov/niem/specification/naming-and-design-rules/3.0/niem-ndr-3.0.html#section_7.1","7-1","Document is an XML document","","rule_7-1","https://reference.niem.gov/niem/specification/naming-and-design-rules/3.0/niem-ndr-3.0.html#rule_7-1","[""REF"",""EXT"",""INS""]","Constraint","schematron","The document MUST be an XML document.",false
"NDR-3.0","section_7.2","Section 7.2. Conformance to XML Namespaces","https://reference.niem.gov/niem/specification/naming-and-design-rules/3.0/niem-ndr-3.0.html#section_7.2","7-2","Document uses XML namespaces properly","","rule_7-2","https://reference.niem.gov/niem/specification/naming-and-design-rules/3.0/niem-ndr-3.0.html#rule_7-2","[""REF"",""EXT"",""INS""]","Constraint","schematron","The document MUST be namespace-well-formed and namespace-valid.",false
"NDR-3.0","section_7.3","Section 7.3. Conformance to XML Schema","https://reference.niem.gov/niem/specification/naming-and-design-rules/3.0/niem-ndr-3.0.html#section_7.3","7-3","Document is a schema document","","rule_7-3","https://reference.niem.gov/niem/specification/naming-and-design-rules/3.0/niem-ndr-3.0.html#rule_7-3","[""REF"",""EXT""]","Constraint","schematron","The document MUST be a schema document.",false
"NDR-3.0","section_7.3","Section 7.3. Conformance to XML Schema","https://reference.niem.gov/niem/specification/naming-and-design-rules/3.0/niem-ndr-3.0.html#section_7.3","7-4","Document element is xs:schema","rule-doc-element-is-xs-schema","rule_7-4","https://reference.niem.gov/niem/specification/naming-and-design-rules/3.0/niem-ndr-3.0.html#rule_7-4","[""REF"",""EXT""]","Constraint","schematron","The [document element] of the XML document MUST have the name xs:schema.",false
