"specificationID","specificationSelector","classID","targetCode","targetName","targetURL","targetDescription","targetTutorial","targetStatus"
"NDR-1.3","NDR-1_3","NDR","REF","Reference Schema Document","https://reference.niem.gov/niem/specification/naming-and-design-rules/1.3/niem-ndr-1.3.pdf#definition_reference_schema_document","A NIEM schema that provides authoritative definitions of broadly reusable schema components and follows a stricter syntax. NIEM release schemas are REFs.","/reference/specifications/ndr/#reference-schema-document-ref",
"NDR-1.3","NDR-1_3","NDR","EXT","Extension Schema Document","https://reference.niem.gov/niem/specification/naming-and-design-rules/1.3/niem-ndr-1.3.pdf#definition_extension_schema_document","A NIEM schema for special-purpose content with little reuse expected. EXTs may thus follow a slightly more relaxed syntax. IEPD extension schemas are often EXTs.","/reference/specifications/ndr/#extension-schema-document-ext",
"NDR-1.3","NDR-1_3","NDR","SET","Conformant Schema Document Set","https://reference.niem.gov/niem/specification/naming-and-design-rules/1.3/niem-ndr-1.3.pdf#definition_conformant_schema_document_set","A single conceptual XML schema that represents the sum of all rules and definitions within a collection of NIEM REF and EXT schemas, such as an IEPD.","/reference/specifications/ndr/#conformant-schema-document-set-set",
"NDR-1.3","NDR-1_3","NDR","INS","Conformant Instance Document","https://reference.niem.gov/niem/specification/naming-and-design-rules/1.3/niem-ndr-1.3.pdf#definition_conformant_instance_XML_document","An XML instance document which is valid against a conformant schema document set (SET).","/reference/specifications/ndr/#conformant-instance-document-ins",
"NDR-3.0","NDR-3_0","NDR","REF","Reference Schema Document","https://reference.niem.gov/niem/specification/naming-and-design-rules/3.0/niem-ndr-3.0.html#definition_reference_schema_document","A NIEM schema that provides authoritative definitions of broadly reusable schema components and follows a stricter syntax. NIEM release schemas are REFs.","/reference/specifications/ndr/#reference-schema-document-ref",
"NDR-3.0","NDR-3_0","NDR","EXT","Extension Schema Document","https://reference.niem.gov/niem/specification/naming-and-design-rules/3.0/niem-ndr-3.0.html#definition_extension_schema_document","A NIEM schema for special-purpose content with little reuse expected. EXTs may thus follow a slightly more relaxed syntax. IEPD extension schemas are often EXTs.","/reference/specifications/ndr/#extension-schema-document-ext",
"NDR-3.0","NDR-3_0","NDR","SET","Conformant Schema Document Set","https://reference.niem.gov/niem/specification/naming-and-design-rules/3.0/niem-ndr-3.0.html#definition_conformant_schema_document_set","A single conceptual XML schema that represents the sum of all rules and definitions within a collection of NIEM REF and EXT schemas, such as an IEPD.","/reference/specifications/ndr/#conformant-schema-document-set-set",
"NDR-3.0","NDR-3_0","NDR","INS","Conformant Instance Document","https://reference.niem.gov/niem/specification/naming-and-design-rules/3.0/niem-ndr-3.0.html#definition_conformant_instance_XML_document","An XML instance document which is valid against a conformant schema document set (SET).","/reference/specifications/ndr/#conformant-instance-document-ins",
"NDR-4.0","NDR-4_0","NDR","REF","Reference Schema Document","https://reference.niem.gov/niem/specification/naming-and-design-rules/4.0/niem-ndr-4.0.html#definition_reference_schema_document","A NIEM schema that provides authoritative definitions of broadly reusable schema components and follows a stricter syntax. NIEM release schemas are REFs.","/reference/specifications/ndr/#reference-schema-document-ref",
"NDR-4.0","NDR-4_0","NDR","EXT","Extension Schema Document","https://reference.niem.gov/niem/specification/naming-and-design-rules/4.0/niem-ndr-4.0.html#definition_extension_schema_document","A NIEM schema for special-purpose content with little reuse expected. EXTs may thus follow a slightly more relaxed syntax. IEPD extension schemas are often EXTs.","/reference/specifications/ndr/#extension-schema-document-ext",
